"date","age_group","age_low","age_up","region","n_positive","total_samples","assay"
"2020-03-26","15_64",15,64,"east_of_england",0,16,"euro_immun"
"2020-03-27","15_64",15,64,"east_of_england",2,12,"euro_immun"
"2020-04-02","15_64",15,64,"east_of_england",1,39,"euro_immun"
"2020-04-03","15_64",15,64,"east_of_england",0,13,"euro_immun"
"2020-04-09","15_64",15,64,"east_of_england",1,27,"euro_immun"
"2020-04-10","15_64",15,64,"east_of_england",0,4,"euro_immun"
"2020-04-12","15_64",15,64,"east_of_england",2,3,"euro_immun"
"2020-04-13","15_64",15,64,"east_of_england",1,6,"euro_immun"
"2020-04-24","15_64",15,64,"east_of_england",3,32,"euro_immun"
"2020-04-30","15_64",15,64,"east_of_england",1,14,"euro_immun"
"2020-05-01","15_64",15,64,"east_of_england",4,22,"euro_immun"
"2020-05-02","15_64",15,64,"east_of_england",0,2,"euro_immun"
"2020-05-03","15_64",15,64,"east_of_england",1,18,"euro_immun"
"2020-05-07","15_64",15,64,"east_of_england",33,503,"euro_immun"
"2020-05-08","15_64",15,64,"east_of_england",20,171,"euro_immun"
"2020-05-10","15_64",15,64,"east_of_england",15,181,"euro_immun"
"2020-05-15","15_64",15,64,"east_of_england",0,2,"euro_immun"
"2020-05-21","15_64",15,64,"east_of_england",1,10,"euro_immun"
"2020-05-22","15_64",15,64,"east_of_england",1,19,"euro_immun"
"2020-05-28","15_64",15,64,"east_of_england",25,528,"euro_immun"
"2020-05-29","15_64",15,64,"east_of_england",26,482,"euro_immun"
"2020-06-05","15_64",15,64,"east_of_england",1,17,"euro_immun"
"2020-06-07","15_64",15,64,"east_of_england",0,8,"euro_immun"
"2020-06-08","15_64",15,64,"east_of_england",1,4,"euro_immun"
"2020-06-15","15_64",15,64,"east_of_england",0,22,"euro_immun"
"2020-06-16","15_64",15,64,"east_of_england",0,1,"euro_immun"
"2020-06-19","15_64",15,64,"east_of_england",2,11,"euro_immun"
"2020-06-22","15_64",15,64,"east_of_england",1,10,"euro_immun"
"2020-06-26","15_64",15,64,"east_of_england",18,392,"euro_immun"
"2020-06-29","15_64",15,64,"east_of_england",20,396,"euro_immun"
"2020-07-03","15_64",15,64,"east_of_england",3,19,"euro_immun"
"2020-07-05","15_64",15,64,"east_of_england",1,7,"euro_immun"
"2020-07-10","15_64",15,64,"east_of_england",5,36,"euro_immun"
"2020-07-17","15_64",15,64,"east_of_england",2,15,"euro_immun"
"2020-07-20","15_64",15,64,"east_of_england",2,7,"euro_immun"
"2020-07-24","15_64",15,64,"east_of_england",1,12,"euro_immun"
"2020-07-25","15_64",15,64,"east_of_england",9,98,"euro_immun"
"2020-07-26","15_64",15,64,"east_of_england",10,179,"euro_immun"
"2020-07-27","15_64",15,64,"east_of_england",24,394,"euro_immun"
"2020-07-28","15_64",15,64,"east_of_england",8,150,"euro_immun"
"2020-07-30","15_64",15,64,"east_of_england",6,62,"euro_immun"
"2020-07-31","15_64",15,64,"east_of_england",1,28,"euro_immun"
"2020-08-02","15_64",15,64,"east_of_england",2,26,"euro_immun"
"2020-08-06","15_64",15,64,"east_of_england",0,16,"euro_immun"
"2020-08-13","15_64",15,64,"east_of_england",1,28,"euro_immun"
"2020-08-14","15_64",15,64,"east_of_england",0,6,"euro_immun"
"2020-08-16","15_64",15,64,"east_of_england",0,10,"euro_immun"
"2020-08-19","15_64",15,64,"east_of_england",0,7,"euro_immun"
"2020-08-21","15_64",15,64,"east_of_england",20,516,"euro_immun"
"2020-08-24","15_64",15,64,"east_of_england",15,265,"euro_immun"
"2020-08-27","15_64",15,64,"east_of_england",1,11,"euro_immun"
"2020-08-28","15_64",15,64,"east_of_england",3,37,"euro_immun"
"2020-09-03","15_64",15,64,"east_of_england",0,13,"euro_immun"
"2020-09-11","15_64",15,64,"east_of_england",1,8,"euro_immun"
"2020-09-12","15_64",15,64,"east_of_england",0,4,"euro_immun"
"2020-09-13","15_64",15,64,"east_of_england",0,2,"euro_immun"
"2020-09-16","15_64",15,64,"east_of_england",33,566,"euro_immun"
"2020-09-18","15_64",15,64,"east_of_england",9,174,"euro_immun"
"2020-09-25","15_64",15,64,"east_of_england",0,17,"euro_immun"
